files_ts_nunique,files_fuid_nunique,files_id.orig_h_nunique,files_id.orig_p_nunique,files_id.resp_h_nunique,files_id.resp_p_nunique,files_source_nunique,files_depth_nunique,files_analyzers_nunique,files_mime_type_nunique,files_duration_nunique,files_local_orig_nunique,files_is_orig_nunique,files_seen_bytes_sum,files_seen_bytes_mean,files_total_bytes_sum,files_total_bytes_mean,files_timedout_nunique,files_sub_log_count_sum,http_ts,http_id.orig_p,http_id.resp_p,http_method,http_uri,http_user_agent,http_request_body_len,http_response_body_len,http_status_code,http_status_msg,http_resp_fuids,http_resp_mime_types,conn_ts,conn_id.orig_p,conn_id.resp_p,conn_proto,conn_service,conn_duration,conn_orig_bytes,conn_resp_bytes,conn_conn_state,conn_local_orig,conn_local_resp,conn_history,conn_orig_pkts,conn_orig_ip_bytes,conn_resp_pkts,conn_resp_ip_bytes,conn_ip_proto,dns_ts,dns_id.orig_p,dns_id.resp_p,dns_trans_id,dns_query,dns_qclass,dns_qclass_name,dns_qtype,dns_qtype_name,dns_AA,dns_RD,dns_RA,weird_ts_nunique,weird_id.orig_h_nunique,weird_id.orig_p_nunique,weird_id.resp_h_nunique,weird_id.resp_p_nunique,weird_name_nunique,weird_notice_nunique,weird_peer_nunique,weird_source_nunique,weird_sub_log_count_sum
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,464.0,464.0,0.0,0.0,1.0,1.0,1473672442.240278,41909.0,80.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),0.0,464.0,200.0,OK,FeH2P93sF0VLojbCS3,text/json,1473672442.233048,41909.0,80.0,tcp,http,0.019374,201.0,885.0,SF,T,T,ShADadfF,6.0,521.0,5.0,1153.0,6.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,464.0,464.0,0.0,0.0,1.0,1.0,1473672442.743534,43760.0,80.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),0.0,464.0,200.0,OK,FRklUC2v4QzjqSVT7i,text/json,1473672442.734518,43760.0,80.0,tcp,http,0.021237,201.0,885.0,SF,T,T,ShADadfF,6.0,521.0,5.0,1153.0,6.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,464.0,464.0,0.0,0.0,1.0,1.0,1473672443.24109,39931.0,80.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),0.0,464.0,200.0,OK,FCCjY44IxJK8ymHYlc,text/json,1473672443.234424,39931.0,80.0,tcp,http,0.018778,201.0,885.0,SF,T,T,ShADadfF,6.0,521.0,5.0,1153.0,6.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,464.0,464.0,0.0,0.0,1.0,1.0,1473672443.741652,44465.0,80.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),0.0,464.0,200.0,OK,F6MMhO3GgFOfSH84Qk,text/json,1473672443.73497,44465.0,80.0,tcp,http,0.019051,201.0,885.0,SF,T,T,ShADadfF,6.0,521.0,5.0,1153.0,6.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,464.0,464.0,0.0,0.0,1.0,1.0,1473672444.239701,42276.0,80.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),0.0,464.0,200.0,OK,FFUzui3Oujq1iUrWDc,text/json,1473672444.232703,42276.0,80.0,tcp,http,0.018782,201.0,885.0,SF,T,T,ShADadfF,6.0,521.0,5.0,1153.0,6.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,464.0,464.0,0.0,0.0,1.0,1.0,1473672444.728308,57570.0,80.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),0.0,464.0,200.0,OK,FEHXLM1OloY6F9s4v6,text/json,1473672444.724926,57570.0,80.0,tcp,http,0.010151,201.0,885.0,SF,T,T,ShADadftF,7.0,585.0,6.0,2073.0,6.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,464.0,464.0,0.0,0.0,1.0,1.0,1473672445.226366,34966.0,80.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),0.0,464.0,200.0,OK,FKA3es3AMNlBle4JT8,text/json,1473672445.223458,34966.0,80.0,tcp,http,0.007541,201.0,885.0,SF,T,T,ShADadfF,6.0,521.0,5.0,1153.0,6.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,464.0,464.0,0.0,0.0,1.0,1.0,1473672447.596444,41425.0,80.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),0.0,464.0,200.0,OK,FJke4D3dwzBhgpzv4g,text/json,1473672447.592789,41425.0,80.0,tcp,http,0.008689,201.0,885.0,SF,T,T,ShADadfF,6.0,521.0,5.0,1153.0,6.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4127.0,4127.0,0.0,0.0,1.0,1.0,1473672447.609879,58703.0,80.0,GET,/api/1d7a2f22157658516ebbad4748c9f43,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),0.0,4127.0,200.0,OK,FtPI8I12OnpdBfBOs9,text/json,1473672447.606651,58703.0,80.0,tcp,http,0.021797,193.0,4548.0,SF,T,T,ShADadfF,11.0,773.0,11.0,5128.0,6.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,464.0,464.0,0.0,0.0,1.0,1.0,1473672448.097511,57649.0,80.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),0.0,464.0,200.0,OK,FXEVJQYQ1lLYcY04,text/json,1473672448.09463,57649.0,80.0,tcp,http,0.008582,201.0,885.0,SF,T,T,ShADadftF,7.0,585.0,6.0,2073.0,6.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,464.0,464.0,0.0,0.0,1.0,1.0,1473672448.59718,43753.0,80.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),0.0,464.0,200.0,OK,FFTiYF4KAWHjtPpdQ1,text/json,1473672448.594318,43753.0,80.0,tcp,http,0.008398,201.0,885.0,SF,T,T,ShADadfF,6.0,521.0,5.0,1153.0,6.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
