uid,files_fuid,files_id.orig_p,files_id.resp_p,files_source,files_depth,files_analyzers,files_mime_type,files_filename,files_duration,files_local_orig,files_is_orig,files_seen_bytes,files_total_bytes,files_missing_bytes,files_overflow_bytes,files_timedout,files_parent_fuid,files_md5,files_sha1,files_sha256,files_extracted,files_extracted_cutoff,files_extracted_size,http_id.orig_p,http_id.resp_p,http_trans_depth,http_method,http_uri,http_referrer,http_version,http_user_agent,http_origin,http_request_body_len,http_response_body_len,http_status_code,http_status_msg,http_info_code,http_info_msg,http_tags,http_username,http_password,http_proxied,http_orig_fuids,http_orig_filenames,http_orig_mime_types,http_resp_fuids,http_resp_filenames,http_resp_mime_types,conn_id.orig_p,conn_id.resp_p,conn_proto,conn_service,conn_duration,conn_orig_bytes,conn_resp_bytes,conn_conn_state,conn_local_orig,conn_local_resp,conn_missed_bytes,conn_history,conn_orig_pkts,conn_orig_ip_bytes,conn_resp_pkts,conn_resp_ip_bytes,conn_tunnel_parents,conn_ip_proto,dns_id.orig_p,dns_id.resp_p,dns_proto,dns_trans_id,dns_rtt,dns_query,dns_qclass,dns_qclass_name,dns_qtype,dns_qtype_name,dns_rcode,dns_rcode_name,dns_AA,dns_TC,dns_RD,dns_RA,dns_Z,dns_answers,dns_TTLs,dns_rejected,dns_opcode,dns_opcode_name,ssl_id.orig_p,ssl_id.resp_p,ssl_version,ssl_cipher,ssl_curve,ssl_server_name,ssl_resumed,ssl_last_alert,ssl_next_protocol,ssl_established,ssl_ssl_history,ssl_cert_chain_fps,ssl_client_cert_chain_fps,ssl_sni_matches_cert,weird_id.orig_p,weird_id.resp_p,weird_name,weird_addl,weird_notice,weird_peer,weird_source,ntp_id.orig_p,ntp_id.resp_p,ntp_version,ntp_mode,ntp_stratum,ntp_poll,ntp_precision,ntp_root_delay,ntp_root_disp,ntp_ref_id,ntp_ref_time,ntp_org_time,ntp_rec_time,ntp_xmt_time,ntp_num_exts,device
C0Mwb14i0iPiu0Xqtj,FycJs215mK0cJ5C4Od,46217.0,80.0,HTTP,0.0,(empty),text/json,-,0.0,T,F,464.0,-,0.0,0.0,F,-,-,-,-,-,-,-,46217.0,80.0,1.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0.0,464.0,200,OK,-,-,(empty),-,-,-,-,-,-,FycJs215mK0cJ5C4Od,-,text/json,46217.0,80.0,tcp,http,0.019236,201,885,SF,T,T,0.0,ShADadfF,6.0,521.0,5.0,1153.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueSwitch
C0V7T93VvufSgcxFy9,FCBCgN3Hi3Kviw789e,57175.0,80.0,HTTP,0.0,(empty),text/json,-,0.0,T,F,451.0,-,0.0,0.0,F,-,-,-,-,-,-,-,57175.0,80.0,1.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0.0,451.0,200,OK,-,-,(empty),-,-,-,-,-,-,FCBCgN3Hi3Kviw789e,-,text/json,57175.0,80.0,tcp,http,0.010617,201,872,SF,T,T,0.0,ShADadfF,6.0,521.0,5.0,1140.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueSwitch
C0ksI214QkgDBTUdxc,FrgpnJLsAEbyONawh,55985.0,80.0,HTTP,0.0,(empty),text/json,-,0.0,T,T,21.0,21,0.0,0.0,F,-,-,-,-,-,-,-,55985.0,80.0,1.0,PUT,/api/1d7a2f22157658516ebbad4748c9f43/scenes/d3de32ec0-on-0/lights/1/state,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,21.0,125.0,200,OK,-,-,(empty),-,-,-,FrgpnJLsAEbyONawh,-,text/json,FnbSyR2ajVJ93QxbVj,-,text/json,55985.0,80.0,tcp,http,0.019415,320,546,SF,T,T,0.0,ShADadftF,7.0,692.0,7.0,918.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueSwitch
C0pZf626eZE3OLQ3se,FZDkvuqDuT6CBIbT6,39115.0,80.0,HTTP,0.0,(empty),text/json,-,0.0,T,F,451.0,-,0.0,0.0,F,-,-,-,-,-,-,-,39115.0,80.0,1.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0.0,451.0,200,OK,-,-,(empty),-,-,-,-,-,-,FZDkvuqDuT6CBIbT6,-,text/json,39115.0,80.0,tcp,http,0.021093,201,872,SF,T,T,0.0,ShADadfF,6.0,521.0,5.0,1140.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueSwitch
C0sZMw4QeRDUUrYqyh,Ftp3Pa15EVdFcvpKPg,44105.0,80.0,HTTP,0.0,(empty),text/json,-,0.0,T,F,22.0,-,0.0,0.0,F,-,-,-,-,-,-,-,44105.0,80.0,1.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors/new,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0.0,22.0,200,OK,-,-,(empty),-,-,-,-,-,-,Ftp3Pa15EVdFcvpKPg,-,text/json,44105.0,80.0,tcp,http,0.026174,205,443,SF,T,T,0.0,ShADadfF,5.0,473.0,5.0,711.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueSwitch
C0ycP14GwK9QXI4Jnl,FtCSBK2eSE7PA6leRj,37103.0,80.0,HTTP,0.0,(empty),text/json,-,0.0,T,F,464.0,-,0.0,0.0,F,-,-,-,-,-,-,-,37103.0,80.0,1.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0.0,464.0,200,OK,-,-,(empty),-,-,-,-,-,-,FtCSBK2eSE7PA6leRj,-,text/json,37103.0,80.0,tcp,http,0.019059,201,885,SF,T,T,0.0,ShADadfF,6.0,521.0,5.0,1153.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueSwitch
C110D81Fnlbscd2B0d,FKVPBgHAjcJDy4Mxa,57963.0,80.0,HTTP,0.0,(empty),application/soap+xml,-,0.0,T,T,457.0,457,0.0,0.0,F,-,-,-,-,-,-,-,57963.0,80.0,1.0,POST,/HNAP1/,-,1.1,ksoap2-android/2.6.0+,-,457.0,458.0,200,OK,-,-,(empty),-,-,-,FKVPBgHAjcJDy4Mxa,-,application/soap+xml,FKLo573uvn4hn0K25f,-,application/soap+xml,57963.0,80.0,tcp,http,26.018368,5472,7264,S3,T,T,0.0,ShADadtf,17.0,6364.0,18.0,8208.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D-LinkHomeHub
C1JpkV1dJicDwa6l47,FlzqAMrgi9CT3Egcf,36863.0,80.0,HTTP,0.0,(empty),-,-,0.0,T,T,1040.0,1040,0.0,0.0,F,-,-,-,-,-,-,-,36863.0,80.0,1.0,POST,/DcpRequestHandler/index.ashx,-,1.1,-,-,1040.0,560.0,200,OK,-,-,(empty),-,-,-,FlzqAMrgi9CT3Egcf,-,-,FEHiJx1rn9sLIOIWXl,-,-,36863.0,80.0,tcp,http,0.081252,1638,871,SF,T,F,0.0,ShADadfF,6.0,1958.0,6.0,1191.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueBridge
C1Kq5n4au6ZJaidGde,FrMBTQ19kRvYQJX1U2,59421.0,80.0,HTTP,0.0,(empty),text/json,-,0.0,T,F,464.0,-,0.0,0.0,F,-,-,-,-,-,-,-,59421.0,80.0,1.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0.0,464.0,200,OK,-,-,(empty),-,-,-,-,-,-,FrMBTQ19kRvYQJX1U2,-,text/json,59421.0,80.0,tcp,http,0.019261,201,885,SF,T,T,0.0,ShADadfF,6.0,521.0,5.0,1153.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueSwitch
C1KvvI125gTEeDRw26,FfjU8s4OOKw4h3pAbf,45215.0,80.0,HTTP,0.0,(empty),text/json,-,0.0,T,F,464.0,-,0.0,0.0,F,-,-,-,-,-,-,-,45215.0,80.0,1.0,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0.0,464.0,200,OK,-,-,(empty),-,-,-,-,-,-,FfjU8s4OOKw4h3pAbf,-,text/json,45215.0,80.0,tcp,http,0.019266,201,885,SF,T,T,0.0,ShADadftF,7.0,585.0,6.0,2073.0,-,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HueSwitch
