uid,id.orig_p,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,ip_proto,device
CaEiMO20xLtthzcXu3,38100,80,tcp,http,0.024235,201,885,SF,T,T,0,SADadfF,6,521,4,1093,-,6,HueSwitch
CmYlov1xslHMfARf2i,41909,80,tcp,http,0.019374,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CcIPlxHo2GLxqOO01,43760,80,tcp,http,0.021237,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CtoDXz3b4PKLIW3qTb,39931,80,tcp,http,0.018778,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CikKtp4hvgsl7tUL1,44465,80,tcp,http,0.019051,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CI66wu2UB9f2oQtlt3,42276,80,tcp,http,0.018782,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CmfcWw43MScsJAvkrb,57570,80,tcp,http,0.010151,201,885,SF,T,T,0,ShADadftF,7,585,6,2073,-,6,HueSwitch
ChL4xqkc5IU6XUbM8,34966,80,tcp,http,0.007541,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CBDLcG4NW8zylXkHNc,41425,80,tcp,http,0.008689,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CzDOhI28a7Ja7ccgCj,58703,80,tcp,http,0.021797,193,4548,SF,T,T,0,ShADadfF,11,773,11,5128,-,6,HueSwitch
CceuI38waGw8udKYf,57649,80,tcp,http,0.008582,201,885,SF,T,T,0,ShADadftF,7,585,6,2073,-,6,HueSwitch
CbdRpb4fz6ut2E0keg,43753,80,tcp,http,0.008398,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CAmhnK2W3IoEPWdB84,49029,80,tcp,http,0.012454,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
C7Gv7S36M8rn8eem23,60585,80,tcp,http,0.011906,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
Coc3dm3CKUigu8wmI2,49725,80,tcp,http,0.012836,201,885,SF,T,T,0,ShADadftF,7,585,6,2073,-,6,HueSwitch
CFBUTAAEAS1hJ0Pkc,57347,80,tcp,http,0.016791,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
Ch5KKZ1KDIrdQBFzoe,47634,80,tcp,http,0.009908,201,885,SF,T,T,0,ShADadftF,7,585,6,2073,-,6,HueSwitch
CguGRB2Ulcwr4hv3Tb,60044,80,tcp,http,0.008718,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
CIRnSF1R83DqrXWMIi,56302,80,tcp,http,0.009333,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
C4UsZp2SmoEFFfunnd,34903,80,tcp,http,0.017811,201,885,SF,T,T,0,ShADadfF,6,521,5,1153,-,6,HueSwitch
ChNoQV1tK2AFzBWiG7,37841,80,tcp,http,0.097841,275,456,SF,T,T,0,ShADadftF,8,711,8,913,-,6,HueSwitch
CCzuHz34z9ZKb9DNZj,59533,80,tcp,http,0.084390,201,664,SF,T,T,0,ShADadftF,7,585,6,1631,-,6,HueSwitch
CgosvzoWeLOZtTwtl,50071,80,tcp,http,0.067178,272,453,SF,T,T,0,ShADadfF,7,644,7,825,-,6,HueSwitch
CFT05e2YZP3m9RoGDc,44378,80,tcp,http,0.063382,272,453,SF,T,T,0,ShADadfF,7,644,7,825,-,6,HueSwitch
CzEpXh1Uw8G8Gaybz4,44038,80,tcp,http,0.062115,272,453,SF,T,T,0,ShADadfF,7,644,7,825,-,6,HueSwitch
Cry9lY28HTPuH1Fvxh,58787,80,tcp,http,0.061177,272,453,SF,T,T,0,ShADadfF,7,644,7,825,-,6,HueSwitch
C9PhXk462nAtKAhiT5,35192,80,tcp,http,0.011571,201,664,SF,T,T,0,ShADadfF,6,521,5,932,-,6,HueSwitch
CSe9lw3a6jb4F1Y5b,32843,80,tcp,http,0.014095,201,664,SF,T,T,0,ShADadfF,6,521,5,932,-,6,HueSwitch
CnHPNi1kqcjfhq4kxk,34748,80,tcp,http,0.018498,201,664,SF,T,T,0,ShADadfF,6,521,5,932,-,6,HueSwitch
CmRlnP3QFRN3B47VX4,43917,80,tcp,http,0.010638,201,664,SF,T,T,0,ShADadfF,6,521,5,932,-,6,HueSwitch
CsONvS3HPQJJQkZnc8,50611,80,tcp,http,0.010483,201,664,SF,T,T,0,ShADadfF,6,521,5,932,-,6,HueSwitch
CzuZP01dfcCgRrK4x1,38039,80,tcp,http,0.011997,201,664,SF,T,T,0,ShADadfF,6,521,5,932,-,6,HueSwitch
CxE1rtaMNwdfKY3i,48131,80,tcp,http,0.010942,201,664,SF,T,T,0,ShADadfF,6,521,5,932,-,6,HueSwitch
Ca0XyE3CUQfK7KK5Bj,39776,80,tcp,http,0.015219,201,664,SF,T,T,0,ShADadfF,6,521,5,932,-,6,HueSwitch
CWEpkx2ZmZrRJEuBW5,47038,80,tcp,http,0.014482,201,664,SF,T,T,0,ShADadftF,7,585,6,1631,-,6,HueSwitch
CJFKi6mmU4iMyvSr5,32830,80,tcp,http,0.015108,193,2672,SF,T,T,0,ShADadfF,9,669,8,3096,-,6,HueSwitch
CpdHlnePz0sc6xq9e,34856,80,tcp,http,0.010703,201,664,SF,T,T,0,ShADadfF,6,521,5,932,-,6,HueSwitch
Cm1abNs1A4p0kTcxc,46739,80,tcp,http,0.018202,271,475,SF,T,T,0,ShADadfF,5,539,5,743,-,6,HueSwitch
C8mi1n2kbEnkjHAnZd,49385,80,tcp,http,0.015126,205,443,SF,T,T,0,ShADadftF,6,537,6,1189,-,6,HueSwitch
CdJgVj1le7FeDZ5Xrf,54713,80,tcp,http,0.020831,205,443,SF,T,T,0,ShADadfF,5,473,5,711,-,6,HueSwitch
CFftBM1FlMXq2XE5ed,44268,80,tcp,http,0.023763,193,2672,SF,T,T,0,ShADadfF,7,565,7,3044,-,6,HueSwitch
COal782Q6Y8dxZKwqf,45553,80,tcp,http,0.022297,205,443,SF,T,T,0,ShADadfF,5,473,5,711,-,6,HueSwitch
CwYQKr4MmPavRW3Zaj,50858,80,tcp,http,0.011342,205,443,SF,T,T,0,ShADadfF,5,473,5,711,-,6,HueSwitch
C0sZMw4QeRDUUrYqyh,44105,80,tcp,http,0.026174,205,443,SF,T,T,0,ShADadfF,5,473,5,711,-,6,HueSwitch
CibR1frHwxUjKXPp9,47330,80,tcp,http,0.014967,205,443,SF,T,T,0,ShADadfF,5,473,5,711,-,6,HueSwitch
CxSkym4STKR2eSdYz4,43175,80,tcp,http,0.015442,205,443,SF,T,T,0,ShADadfF,5,473,5,711,-,6,HueSwitch
