,uids,client_addr,server_addr,mac,host_name,client_fqdn,domain,requested_addr,assigned_addr,lease_time,client_message,server_message,msg_types,duration,device
0,CLdT9JxC5ojYdHIQ8,-,-,1c:5f:2b:aa:fd:4e,IoTHub,-,-,10.10.10.87,-,-,-,-,"DISCOVER,REQUEST",0.001476,D-LinkHomeHub
1,CEDuka3nOLvBcnkNG9,-,-,1c:5f:2b:aa:fd:4e,DCH-G020,-,-,10.10.10.87,-,-,-,-,"DISCOVER,REQUEST",0.001474,D-LinkHomeHub
2,CpZjci2l2cVQZ1c78d,-,-,94:10:3e:42:80:69,-,-,-,10.10.10.124,-,-,-,-,"DISCOVER,REQUEST",2.77989,WeMoInsightSwitch2
3,Cu6tr32ZuXP4x3vdd5,-,-,3c:49:37:03:17:db,-,-,-,10.10.10.186,-,-,-,-,"DISCOVER,REQUEST",0.030321,EdnetCam1
4,CkVdV148ojW79wr5Rd,-,-,b0:c5:54:1c:71:85,DCS-930LB,-,-,10.10.10.58,-,-,-,-,"DISCOVER,REQUEST",0.023967,D-LinkDayCam
5,CIltY144722vUaRcC4,-,-,94:10:3e:35:01:c1,-,-,-,10.10.10.252,-,-,-,-,"DISCOVER,REQUEST",0.027972,WeMoSwitch
6,CQnUNJ1UEH8XzO9k5d,-,-,ac:cf:23:62:3c:6e,HF-LPB100,-,-,-,-,-,-,-,DISCOVER,0.0,EdnetGateway
7,CQnUNJ1UEH8XzO9k5d,-,-,ac:cf:23:62:3c:6e,HF-LPB100,-,-,10.10.10.149,-,-,-,-,REQUEST,0.0,EdnetGateway
8,ChrsX8ikOuXZ8CwI6,-,-,00:24:e4:24:80:2a,-,-,-,-,-,-,-,-,DISCOVER,0.0,Withings
9,ChrsX8ikOuXZ8CwI6,-,-,00:24:e4:24:80:2a,-,-,-,10.10.10.21,-,-,-,-,REQUEST,0.0,Withings
10,CI6hqv4cDA8hhAtJCb,-,-,74:da:38:80:79:fc,-,-,-,10.10.10.227,-,-,-,-,"DISCOVER,REQUEST",0.014202,EdimaxCam2
11,CBzKx22P3v1jwteefg,-,-,b0:c5:54:25:5b:0e,DCS-935L,-,-,10.10.10.37,-,-,-,-,"DISCOVER,DISCOVER,REQUEST,REQUEST",0.014891,D-LinkCam
12,COMLbb3nty0SXXn7Ie,-,-,94:10:3e:cd:37:65,-,-,-,10.10.10.144,-,-,-,-,"DISCOVER,REQUEST",0.028178,WeMoLink
13,CQVLeisyL5CxZhm19,-,-,50:c7:bf:00:c7:03,HS110(EU),-,-,10.10.10.20,-,-,-,-,"DISCOVER,REQUEST",0.004477,TP-LinkPlugHS110
14,CdB9gi4RHV9J7hQpL,-,-,3c:49:37:03:17:f0,-,-,-,10.10.10.207,-,-,-,-,"DISCOVER,REQUEST",0.03785,EdnetCam2
15,CuXwFy4qpHq0yadkY9,-,-,5c:cf:7f:06:d9:02,ESP_06D902,-,-,10.10.10.245,-,-,-,-,"DISCOVER,REQUEST",0.008208,iKettle2
16,CFPWMf43tX8U4f84c4,-,-,50:c7:bf:00:fc:a3,HS100(EU),-,-,10.10.10.228,-,-,-,-,"DISCOVER,REQUEST",0.0046,TP-LinkPlugHS100
17,CnmCU02o8LFTektjze,-,-,20:f8:5e:ca:91:52,GainSpanca9152,-,-,10.10.10.123,-,-,-,-,"DISCOVER,REQUEST,DISCOVER,REQUEST",2.109718,Aria
18,CSDxta37AR7OFgZ7Zh,-,-,5c:cf:7f:07:ae:fb,ESP_07AEFB,-,-,10.10.10.146,-,-,-,-,"DISCOVER,REQUEST",0.009283,SmarterCoffee
19,C9nnJm259Ae6jcCmfc,-,-,00:1a:22:03:cb:be,KEQ0817541,-,-,10.10.10.129,-,-,-,-,REQUEST,0.0,MAXGateway
20,CCOhxvSQM1HiDTO3c,-,-,84:18:26:7b:5f:6b,Lightify-7B5F6B,-,-,10.10.10.114,-,-,-,-,REQUEST,0.0,Lightify
21,CCOhxvSQM1HiDTO3c,-,-,84:18:26:7b:5f:6b,-,-,-,-,-,-,-,-,DISCOVER,0.0,Lightify
22,CCOhxvSQM1HiDTO3c,-,-,84:18:26:7b:5f:6b,-,-,-,-,-,-,-,-,DISCOVER,0.0,Lightify
23,CCOhxvSQM1HiDTO3c,-,-,84:18:26:7b:5f:6b,Lightify-7B5F6B,-,-,10.10.10.114,-,-,-,-,REQUEST,0.0,Lightify
24,CRhzFU2HzUs8rYaXcf,192.168.0.80,192.168.0.60,38:0b:40:ef:85:41,-,-,-,-,192.168.0.80,180.000000,-,-,OFFER,0.0,D-LinkWaterSensor
25,CRhzFU2HzUs8rYaXcf,-,-,38:0b:40:ef:85:41,-,-,-,-,-,-,-,-,NAK,0.0,D-LinkWaterSensor
26,CRhzFU2HzUs8rYaXcf,192.168.0.80,192.168.0.60,38:0b:40:ef:85:41,-,-,-,-,192.168.0.80,180.000000,-,-,OFFER,0.0,D-LinkWaterSensor
27,CVz31S2NLzUsgGGDy2,-,-,6c:72:20:c5:17:5a,DCH-S160,-,-,10.10.10.11,-,-,-,-,"DISCOVER,REQUEST",0.02327,D-LinkWaterSensor
28,Cc2kYC2fp8wemSPPLd,-,-,90:8d:78:a9:3d:6f,DSP-W215,-,-,10.10.10.176,-,-,-,-,"DISCOVER,REQUEST",0.027878,D-LinkSwitch
29,CnV4zE2mLH6ie2vkOh,-,-,74:da:38:80:7a:08,-,-,-,10.10.10.51,-,-,-,-,"DISCOVER,REQUEST",0.011757,EdimaxCam1
