uid,fuid,id.orig_p,id.resp_p,source,depth,analyzers,mime_type,filename,duration,local_orig,is_orig,seen_bytes,total_bytes,missing_bytes,overflow_bytes,timedout,parent_fuid,md5,sha1,sha256,extracted,extracted_cutoff,extracted_size,device
CmYlov1xslHMfARf2i,FeH2P93sF0VLojbCS3,41909,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CcIPlxHo2GLxqOO01,FRklUC2v4QzjqSVT7i,43760,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CtoDXz3b4PKLIW3qTb,FCCjY44IxJK8ymHYlc,39931,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CikKtp4hvgsl7tUL1,F6MMhO3GgFOfSH84Qk,44465,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CI66wu2UB9f2oQtlt3,FFUzui3Oujq1iUrWDc,42276,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CmfcWw43MScsJAvkrb,FEHXLM1OloY6F9s4v6,57570,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
ChL4xqkc5IU6XUbM8,FKA3es3AMNlBle4JT8,34966,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CBDLcG4NW8zylXkHNc,FJke4D3dwzBhgpzv4g,41425,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CzDOhI28a7Ja7ccgCj,FtPI8I12OnpdBfBOs9,58703,80,HTTP,0,(empty),text/json,-,0.010498,T,F,4127,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
CceuI38waGw8udKYf,FXEVJQYQ1lLYcY04,57649,80,HTTP,0,(empty),text/json,-,0.0,T,F,464,-,0,0,F,-,-,-,-,-,-,-,HueSwitch
