uid,id.orig_p,id.resp_p,trans_depth,method,uri,referrer,version,user_agent,origin,request_body_len,response_body_len,status_code,status_msg,info_code,info_msg,tags,username,password,proxied,orig_fuids,orig_filenames,orig_mime_types,resp_fuids,resp_filenames,resp_mime_types,device
CmYlov1xslHMfARf2i,41909,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,464,200,OK,-,-,(empty),-,-,-,-,-,-,FeH2P93sF0VLojbCS3,-,text/json,HueSwitch
CcIPlxHo2GLxqOO01,43760,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,464,200,OK,-,-,(empty),-,-,-,-,-,-,FRklUC2v4QzjqSVT7i,-,text/json,HueSwitch
CtoDXz3b4PKLIW3qTb,39931,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,464,200,OK,-,-,(empty),-,-,-,-,-,-,FCCjY44IxJK8ymHYlc,-,text/json,HueSwitch
CikKtp4hvgsl7tUL1,44465,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,464,200,OK,-,-,(empty),-,-,-,-,-,-,F6MMhO3GgFOfSH84Qk,-,text/json,HueSwitch
CI66wu2UB9f2oQtlt3,42276,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,464,200,OK,-,-,(empty),-,-,-,-,-,-,FFUzui3Oujq1iUrWDc,-,text/json,HueSwitch
CmfcWw43MScsJAvkrb,57570,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,464,200,OK,-,-,(empty),-,-,-,-,-,-,FEHXLM1OloY6F9s4v6,-,text/json,HueSwitch
ChL4xqkc5IU6XUbM8,34966,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,464,200,OK,-,-,(empty),-,-,-,-,-,-,FKA3es3AMNlBle4JT8,-,text/json,HueSwitch
CaEiMO20xLtthzcXu3,38100,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,-,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,0,-,-,-,-,(empty),-,-,-,-,-,-,-,-,-,HueSwitch
CBDLcG4NW8zylXkHNc,41425,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,464,200,OK,-,-,(empty),-,-,-,-,-,-,FJke4D3dwzBhgpzv4g,-,text/json,HueSwitch
CzDOhI28a7Ja7ccgCj,58703,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,4127,200,OK,-,-,(empty),-,-,-,-,-,-,FtPI8I12OnpdBfBOs9,-,text/json,HueSwitch
CceuI38waGw8udKYf,57649,80,1,GET,/api/1d7a2f22157658516ebbad4748c9f43/sensors,-,1.1,Dalvik/2.1.0 (Linux; U; Android 5.1.1; SM-N7505 Build/LMY47X),-,0,464,200,OK,-,-,(empty),-,-,-,-,-,-,FXEVJQYQ1lLYcY04,-,text/json,HueSwitch
