uid,id.orig_p,id.resp_p,version,mode,stratum,poll,precision,root_delay,root_disp,ref_id,ref_time,org_time,rec_time,xmt_time,num_exts,device
Cn8FZA3P2UHdskqV1a,53167,123,4,3,0,1,1.0,0.0,0.0,\x00\x00\x00\x00,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1904-09-17 23:39:47.473109007,0,HueSwitch
Cn8FZA3P2UHdskqV1a,53167,123,4,4,3,8,0.0,0.014725,0.054001,161.62.157.173,2016-09-12 09:18:21.308867931,1904-09-17 23:39:47.473109007,2016-09-12 09:27:18.236187935,2016-09-12 09:27:18.236237049,0,HueSwitch
CJpoJZeO7Emo6kQJj,56212,123,4,3,0,1,1.0,0.0,0.0,\x00\x00\x00\x00,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1927-11-11 20:17:07.106484890,0,HueSwitch
CJpoJZeO7Emo6kQJj,56212,123,4,4,1,8,1e-06,0.0,0.000534,shm0,2016-09-12 09:27:04.626523018,1927-11-11 20:17:07.106484890,2016-09-12 09:27:19.248347044,2016-09-12 09:27:19.248383045,0,HueSwitch
CUY52Ok5OBe19EJYk,39333,123,4,3,0,1,1.0,0.0,0.0,\x00\x00\x00\x00,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1964-05-29 09:48:00.260302007,0,HueSwitch
CUY52Ok5OBe19EJYk,39333,123,4,4,2,8,0.0,0.003906,0.022964,129.69.1.153,2016-09-12 09:23:20.443500996,1964-05-29 09:48:00.260302007,2016-09-12 09:27:20.261260985,2016-09-12 09:27:20.261280059,0,HueSwitch
CC2uNr361KlJmckoDj,37872,123,4,3,0,1,1.0,0.0,0.0,\x00\x00\x00\x00,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1923-09-08 11:29:55.311594963,0,HueSwitch
CC2uNr361KlJmckoDj,37872,123,4,4,4,1,0.0,0.000229,0.0,195.154.97.57,2016-09-12 07:53:59.488989115,1923-09-08 11:29:55.311594963,2016-09-12 09:27:22.271464109,2016-09-12 09:27:22.271471977,0,HueSwitch
CQYiKu4wUVaHW2YTM7,39785,123,4,3,0,1,1.0,0.0,0.0,\x00\x00\x00\x00,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1922-01-21 09:05:18.286994934,0,HueSwitch
CQYiKu4wUVaHW2YTM7,39785,123,4,4,3,8,0.0,0.014725,0.054489,161.62.157.173,2016-09-12 09:18:21.308867931,1922-01-21 09:05:18.286994934,2016-09-12 09:27:50.310506105,2016-09-12 09:27:50.310549974,0,HueSwitch
Cuwu1o2kezsaYPoJkc,33773,123,4,3,0,1,1.0,0.0,0.0,\x00\x00\x00\x00,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1909-12-07 23:23:26.167587042,0,HueSwitch
Cuwu1o2kezsaYPoJkc,33773,123,4,4,2,8,0.0,0.003906,0.023956,129.69.1.153,2016-09-12 09:23:20.443500996,1909-12-07 23:23:26.167587042,2016-09-12 09:28:26.351506948,2016-09-12 09:28:26.351524115,0,HueSwitch
CITX5r1Vq63H2Letod,39012,123,4,3,0,1,1.0,0.0,0.0,\x00\x00\x00\x00,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1952-01-26 08:30:25.481413960,0,HueSwitch
CITX5r1Vq63H2Letod,39012,123,4,4,1,8,1e-06,0.0,0.000336,shm0,2016-09-12 09:28:24.626569986,1952-01-26 08:30:25.481413960,2016-09-12 09:28:27.362633944,2016-09-12 09:28:27.362673044,0,HueSwitch
CUFbHb1wznjUTOq2Rf,41663,123,4,3,0,1,1.0,0.0,0.0,\x00\x00\x00\x00,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1943-09-02 02:48:00.298797965,0,HueSwitch
CUFbHb1wznjUTOq2Rf,41663,123,4,4,4,1,0.0,0.000229,0.0,195.154.97.57,2016-09-12 07:53:59.488989115,1943-09-02 02:48:00.298797965,2016-09-12 09:28:29.379693985,2016-09-12 09:28:29.379712105,0,HueSwitch
CmhgyP17aqTORPzSr4,37439,123,3,3,0,16,0.015625,1.0,1.0,\x00\x00\x00\x00,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,2015-11-20 00:00:09.222177029,0,D-LinkHomeHub
CmhgyP17aqTORPzSr4,37439,123,3,4,2,32,1e-06,0.014771,0.032608,130.207.244.240,2016-09-05 14:16:44.453253031,2015-11-20 00:00:09.222177029,2016-09-05 14:34:01.770241976,2016-09-05 14:34:01.770286083,0,D-LinkHomeHub
C1UiEf420tYVIE2lz2,36931,123,3,3,0,16,0.015625,1.0,1.0,\x00\x00\x00\x00,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,2015-11-20 00:00:10.846246958,0,D-LinkHomeHub
C1UiEf420tYVIE2lz2,36931,123,3,4,2,32,1e-06,0.078506,0.018326,198.30.92.2,2016-09-05 14:32:40.490753889,2015-11-20 00:00:10.846246958,2016-09-05 14:35:03.274946928,2016-09-05 14:35:03.274982929,0,D-LinkHomeHub
CN5tbb4C8viaMGW7pi,38382,123,3,3,0,16,0.015625,1.0,1.0,\x00\x00\x00\x00,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,2016-09-05 14:35:30.736222029,0,D-LinkHomeHub
CN5tbb4C8viaMGW7pi,38382,123,3,4,2,32,1e-06,0.014771,0.017609,130.207.244.240,2016-09-05 14:34:44.453258991,2016-09-05 14:35:30.736222029,2016-09-05 14:35:30.872611046,2016-09-05 14:35:30.872648954,0,D-LinkHomeHub
Cuf0Na1OrbaVtQsb1b,3074,123,3,3,0,16,0.015625,1.0,1.0,\x00\x00\x00\x00,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,2016-08-17 16:56:18.625602007,0,WeMoInsightSwitch2
CixLyRUaHma7Smm8f,3074,123,3,3,0,16,0.015625,1.0,1.0,\x00\x00\x00\x00,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,2016-08-17 16:56:19.668221951,0,WeMoInsightSwitch2
CixLyRUaHma7Smm8f,3074,123,3,4,2,16,0.0,0.000992,0.001877,130.149.103.114,2016-08-17 16:55:24.263854980,2016-08-17 16:56:19.668221951,2016-08-17 16:56:10.279012918,2016-08-17 16:56:10.279027939,0,WeMoInsightSwitch2
CHBftU1YeEJpiWzQYe,123,123,3,3,0,16,0.015625,1.0,1.0,\x00\x00\x00\x00,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,2016-08-17 17:56:10.046374083,0,WeMoInsightSwitch2
CHBftU1YeEJpiWzQYe,123,123,3,4,2,16,0.0,0.000992,0.001877,130.149.103.114,2016-08-17 16:55:24.263854980,2016-08-17 17:56:10.046374083,2016-08-17 16:56:10.358092070,2016-08-17 16:56:10.358104944,0,WeMoInsightSwitch2
CN4vUe1xUe915zw21,123,123,3,3,0,16,0.015625,1.0,1.0,\x00\x00\x00\x00,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,0,EdnetGateway
CuOLlp31dMImQoAfk4,49153,123,4,3,0,16,0.015625,1.0,1.0,\x00\x00\x00\x00,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000000,0,EdnetGateway
CuOLlp31dMImQoAfk4,49153,123,4,4,2,16,1e-06,0.011536,0.023163,192.53.103.104,2016-09-06 15:02:21.062923908,1970-01-01 00:00:00.000000000,2016-09-06 15:14:00.983354092,2016-09-06 15:14:00.983376026,0,EdnetGateway
