uid,id.orig_p,id.resp_p,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,device
CdDBo01qR3cnSKSKSf,41855,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkHomeHub
CCJqIX3ZNUN10QMvH2,41856,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,-,-,T,-,-,T,CsiI,-,-,-,D-LinkHomeHub
CEZijv15S6klUx2Vej,41859,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,-,-,T,-,-,T,CsiI,-,-,-,D-LinkHomeHub
CIhPJE1kCkMC1EJXA3,41860,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,-,-,T,-,-,T,CsiI,-,-,-,D-LinkHomeHub
CA50yC2eJcfoi3w5Xd,41862,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,-,-,T,-,-,T,CsiI,-,-,-,D-LinkHomeHub
CMptmt3h913AzgCGO3,44009,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkHomeHub
CHRPsO3NCvYDtICuYh,44011,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkHomeHub
CIvQF8255C67h0f0S5,44012,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_128_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkHomeHub
Cmoz069qpW6hJ047j,59439,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkHomeHub
CzVm164WPGlsQgYfN7,59441,443,TLSv10,TLS_ECDHE_RSA_WITH_AES_256_CBC_SHA,secp256r1,-,F,-,-,T,CsxknGIti,"f78fba0fc9f43f255a2532a65626f3981090c91bccbb7556291540cd213bd4c7,74ef335e5e18788307fb9d89cb704bec112abd23487dbff41c4ded5070f241d9,ebd41040e4bb3ec742c9e381d31ef2a41a48b6685c96e7cef3c1df6cd4331c99",(empty),-,D-LinkHomeHub
